id,created_at,original_text
ID000132,2020-08-20,rajcmo ashokgehlot51 govinddotasra sachinpilot
ID000133,2020-08-20,today greater manchesters emergency covid19 committee leaders amp mayorofgm andyburnhamgm agreed correspond
ID000134,2020-08-20,nonsense lives life risks dangers people accustomed
ID000135,2020-08-20,breaking doh reports 4339 covid19 cases 88 deaths 727 recoveries brings totals 178022
ID000136,2020-08-20,started experiencing covid19 symptoms fever muscle aches lethargy tested virus
ID000137,2020-08-20,murrayhicksind4 damiandrummp tourism rescue wait
ID000138,2020-08-20,covid19 time digital church
ID000139,2020-08-20,anderson cooper attacking pillow creator mike lindell oleandrin alternative cure covid 19 cooper yo
ID000140,2020-08-20,urgently required positive plasma recovered covid 19 patient critical condition respond patient namemsridha
ID000141,2020-08-20,neoliberalism spreading coronavirus faster reckless teenager column
ID000142,2020-08-20,recommendations prepared ncoc guidelines provision covid19 vaccine
ID000143,2020-08-20,bigg boss 13 winner fans rescue father battles
ID000144,2020-08-20,
ID000145,2020-08-20,rapid saliva test covid19 operating fda emergency authorization todays news puts
ID000146,2020-08-20,sunday 5 thecricketernvc 2020 dumbleton host milfordhallcc place quarterfinal 1pm start
ID000147,2020-08-20,hangerclothes boblisterpoole report antibody tests
ID000148,2020-08-20,updated guidelines explore prep create high quality work safely 36 htt
ID000149,2020-08-20,investing lifecycle transfers address crisis reach 91
ID000150,2020-08-20,question australias federal health minister greghuntmp astrazeneca company produce austral
ID000151,2020-08-20,people covid19 contagious
ID000152,2020-08-20,covid19 semenanjung tour life
ID000153,2020-08-20,ajnguyenyt 22 community posts disabled temporarily unavailable channels covid
ID000154,2020-08-20,intimacy time covid19 framework directors covers production process starting worki
ID000155,2020-08-20,
ID000156,2020-08-20,big pharma doesnt dont covid19 vaccine return normal dont va
ID000157,2020-08-20,covid19 deaths yesterday spain 24 france 17 japan 16 canada 13 uk 12 germany 9 united 1
ID000158,2020-08-20,children carry coronavirus thought study suggests
ID000159,2020-08-20,managed hands leaked stormont document revealing todays covid19 restrictions
ID000160,2020-08-20,sex workers times covid19 submission nacoindia impact covid19 sex workers august 2020
ID000161,2020-08-20,hr specialists amp business leaders adapt covid19 postpandemic working environment
ID000162,2020-08-20,trended social media winner reached fans covid19
ID000163,2020-08-20,fm smqureshipti visiting 2021 aug leading delegation chinapakistan
ID000164,2020-08-20,zeenews china enemy humanity started spread covid19 china threat
ID000165,2020-08-20,17 confirmed covid19 cases naga
ID000166,2020-08-20,weekly confirmed cases decreases tests increases number tests july 14 august 15 increa
ID000167,2020-08-20,guess 116000 government contract learn lessons covid19 crisis tender
ID000168,2020-08-20,images crowds waterpark festival chinese city wuhan covid19 emerged citys
ID000169,2020-08-20,sad true coronavirus doesnt coronavirus
ID000170,2020-08-20,amp school closures time mental health young people high risk
ID000171,2020-08-20,burt duck fit survive covid19 ernie chance health screen kurnos
ID000172,2020-08-20,communist china reason covid19 endorses joebiden
ID000173,2020-08-20,health unions worried covid19 aged care homes
ID000174,2020-08-20,work dont children parent dont job covid
ID000175,2020-08-20,coming cctvs educational channel comcast12verizon41 8202020 52950 psawhere tested covid19 ma
ID000176,2020-08-20,students major problems covid19 control online classes beneficial students dealing
ID000177,2020-08-20,black americans 22 deaths coronavirus america dying higher rate
ID000178,2020-08-20,covid19 graph doctor needed hospital seating kindely accept fmge letter
ID000179,2020-08-20,otg faceshields availablesuper fast deliveryship fight covid19
ID000180,2020-08-20,children silent spreaders study
ID000181,2020-08-20,2 days amp 1 night decided postpone filming scheduled tomorrow august 21 rising number
ID000182,2020-08-20,interview surviving lockdown podcast markryesmedia bag mark gently grilled impact cov
ID000183,2020-08-20,apples covid19 exposure notification api works ios macworld
ID000184,2020-08-20,urstrulymahesh garu greener india good health
ID000185,2020-08-20,
ID000186,2020-08-20,68 covid19 cases singapore including 2 imported community cases
ID000187,2020-08-20,matter exact diagnosis covid19 pandemic create substantial wave chronically disabled people
ID000188,2020-08-20,thalapathy vijays close friend actor sriman shares video superstar spread positivity covi
ID000189,2020-08-20,jtbc stopped filming comedy actor man seok contact confirmed covid19 case
ID000190,2020-08-20,
ID000191,2020-08-20,kbs drama sol sol la la sol starring ara lee jae wook halts filming actors heo dong wo
ID000192,2020-08-20,bombsfall forget covid19 scribbled walls blood
ID000193,2020-08-20,covid19 mentalhealthmsc studentgrad inputs zainy24 fbentivegna chukw1nna dla
ID000194,2020-08-20,blame government chinese communist party covid19 sars 2 pandemic lockdowns
ID000195,2020-08-20,mamman daura flown uk today urgent treatment exhibiting respiratory difficulties symptoms covid19
ID000196,2020-08-20,peripheryband felt vocal cover
ID000197,2020-08-20,texas senator literally sovietstyle propaganda twitter fight steveschmidtses
ID000198,2020-08-20,edyong209 powerfully advocating definitions illness recovery extend hospitalis
ID000199,2020-08-20,cus institute advanced studies education holds webinar covid19
ID000200,2020-08-20,union minister gajendra singh shekhawat tests positive
ID000201,2020-08-20,high school employees police officers test positive covid19
ID000202,2020-08-20,april 2020 femnet thekhrc commissioned hivos conduct rapid assessment impact covid
ID000203,2020-08-20,dangerous social distancing masks matter time covid19 hits squin
ID000204,2020-08-20,head 4 set
ID000205,2020-08-20,michaelcoudrey realdonaldtrump evidence hcq works fauci knew hcq 2005 needed
ID000206,2020-08-20,india scale peak ptinews record singleday spike 69652 covid19 cases pushes indias virus
ID000207,2020-08-20,175000 americans died 5 months virus continues surge areas realdon
ID000208,2020-08-20,vergeire productive age group 20 59 years infected cov
ID000209,2020-08-20,1 week resuming inperson classes university reported 135 covid19 cases shut
ID000210,2020-08-20,happy day dear friends
ID000211,2020-08-20,gnbt generex nearing funding deal covid19 vaccine
ID000212,2020-08-20,covid19 interrupted twothirds firmlevel apprenticeships quarters internships india
ID000213,2020-08-20,pandemic measures people received covid19 vaccine china
ID000214,2020-08-20,covid19 update global digital twins market expected grow healthy cagr players allerin altair amazon
ID000215,2020-08-20,30000 fmg doctors ready 2 fight nationrequest pmoindia drharshvardhan drhvoffi
ID000216,2020-08-20,brave political leader opens borders activ
ID000217,2020-08-20,possibilities covid19 people undergone 14day quarantine
ID000218,2020-08-20,kelstonfred clarkemicah elliotgreenip advise prevent covid19 transmission effectively areas
ID000219,2020-08-20,temperature screen covid19 test
ID000220,2020-08-20,15 cricketers tested bcbtigers monthlong camp starts su
ID000221,2020-08-20,busy week covid19 strategic preparedness unit attending multiple accident scenes
ID000222,2020-08-20,sides willinter aliadiscuss cooperation bilateral tiesregional amp intl issues mutual int
ID000223,2020-08-20,flatten curve sanitize wear mask amp social distance
ID000224,2020-08-20,america convince people covid19 hoax
ID000225,2020-08-20,howieplaysmusic understand legitimate reasons customer unable wear face
ID000226,2020-08-20,number daily cases deaths fallen peak pandemic uk virus
ID000227,2020-08-20,daycare teacher sbs prism tower tested positive covid19 entire office building shut amp
ID000228,2020-08-20,reveals single dynamite mv teaser dynamite discopop genre song btstwts sincerity
ID000229,2020-08-20,dont tomorrows episode learn build amazon kendra spec
ID000230,2020-08-20,strong woman bong actor kim won hae tested positive covid19
ID000231,2020-08-20,post baby pram stroller market 2020 covid19 impact industry business outlook revenue trends fo
ID000232,2020-08-20,holy shit story cute faith
ID000233,2020-08-20,covid19 pandemic northeast nigeria hardtoreach teams working tirelessly provide urgently
ID000234,2020-08-20,union minister gajendra singh shekhawat tests positive
ID000235,2020-08-20,estimated cost epidemicspandemics sars 2003 40 billion h5n1 2006 40 billion h1n1 2009 45
ID000236,2020-08-20,
ID000237,2020-08-20,covid 19 control delhi ncr ssc reluctant dates exams held
ID000238,2020-08-20,covid19 update global digital twins market expected grow healthy cagr players allerin altai
ID000239,2020-08-20,longhaulers women average age 44 fit healthy scary surg
ID000240,2020-08-20,investors 35 advantage holiday data
ID000241,2020-08-20,mcaviv mlkhattar parentsdpsfbd pritinath9 cmohry pmoindia eradication corruption complex topic 2 discu
ID000242,2020-08-20,working class strong united labor party hold morrison account focus ensuring global warmin
ID000243,2020-08-20,covid19 healthcare liaison ready talk story nations infectious disease expert
ID000244,2020-08-20,interesting read covid fitbit figure fitbit ship fitbits everyon
ID000245,2020-08-20,breaking total number coronavirus infections country jumped 178022 thursday department
ID000246,2020-08-20,abc complain covid19 inspire protest thousands streets som
ID000247,2020-08-20,africa economies businesses build covid19 hands deck prioritize investme
ID000248,2020-08-20,irshad mba student student asks students pay library lab amenities
ID000249,2020-08-20,arguably major south indian movie release digitally lockdown hope filmmakers rou
ID000250,2020-08-20,hurray covid19 checkmate follow covid behaviours safety
ID000251,2020-08-20,terms covid 19 felt fully understood happening country leo varadkar amp simon harris le
ID000252,2020-08-20,infection rates rising tune tomorrow update drjv75 latest stats wh
ID000253,2020-08-20,mypillow ceo lindell white house asked cures covid19 forbes
