id,created_at,original_text,neg,neu,pos,compound,neg.1,neu.1,pos.1,compound.1,neg.2,neu.2,pos.2,compound.2,neg,neu,pos,compound
ID000046,2020-06-01,community transmission coronavirus infection wellestablished large sections subpopulations,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000047,2020-06-01,surprising hong kong govt cancel june 4th tiananmen square massacre memorial mov,0.142,0.709,0.149,0.0258,0.142,0.709,0.149,0.0258,0.142,0.709,0.149,0.0258,0.142,0.709,0.149,0.0258
ID000048,2020-06-01,morrisonsall engaging discussion luxury market branding consumer sentiment cov,0.0,0.769,0.231,0.34,0.0,0.769,0.231,0.34,0.0,0.769,0.231,0.34,0.0,0.769,0.231,0.34
ID000049,2020-06-01,cic juliussmalema highlights dangers alcohol fight pandemic,0.537,0.463,0.0,-0.7003,0.537,0.463,0.0,-0.7003,0.537,0.463,0.0,-0.7003,0.537,0.463,0.0,-0.7003
ID000050,2020-06-01,icoms latest survey collected global data relevant regard impact lockdowns museums,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000051,2020-06-01,chardurand ektapaw helping colleges reflect approaches exams training including disadvant,0.0,0.804,0.196,0.296,0.0,0.804,0.196,0.296,0.0,0.804,0.196,0.296,0.0,0.804,0.196,0.296
ID000052,2020-06-01,presidential task force battle pandemic,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818,0.394,0.606,0.0,-0.3818
ID000053,2020-06-01,focus shifts reopening economy navigate horizons,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000054,2020-06-01,rioting weeks shitload sick democrats,0.452,0.548,0.0,-0.5106,0.452,0.548,0.0,-0.5106,0.452,0.548,0.0,-0.5106,0.452,0.548,0.0,-0.5106
ID000055,2020-06-01,hanbin donated 4000 masks elderlies messages stay strong korea hanbin praying,0.0,0.608,0.392,0.7003,0.0,0.608,0.392,0.7003,0.0,0.608,0.392,0.7003,0.0,0.608,0.392,0.7003
ID000056,2020-06-01,planning start pandemic influenza plans rapidly adapting,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
ID000057,2020-06-01,denouncing protests didnt denounce privileged ass white folk,0.326,0.303,0.37,0.1481,0.326,0.303,0.37,0.1481,0.326,0.303,0.37,0.1481,0.326,0.303,0.37,0.1481
ID000058,2020-06-01,manufacturing output slumps lockdown weighs,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
