id,created_at,original_text
ID000193,2020-04-19,12 cdns approx live canadas 4 western provinces 185 treated hospital
ID000194,2020-04-19,jackposobiec 30000 americans died month 2017 seasonal flu outcry dont remember
ID000195,2020-04-19,york mayor blasio asks trump telling city drop dead
ID000196,2020-04-19,lancaster county continues report high percentage coronavirus deaths
ID000197,2020-04-19,charliekirk11 asked ridiculous wait trump office
ID000198,2020-04-19,lived small community reported 4 cases 19what
ID000199,2020-04-19,bioengineered lab setting simply natural selection response usatoday factchecker whet
ID000200,2020-04-19,19 update lagos heart beating fast
ID000201,2020-04-19,devastating report coronavirus deaths york initial coll
ID000202,2020-04-19,dicegreene read news sports star celebrity politician positive
ID000203,2020-04-19,jdiamond1 cnn challenging potus statements praise xi china handl
ID000204,2020-04-19,presssec realdonaldtrump invoking divine feminineplease rescue surrender
ID000205,2020-04-19,dr hurst fight continue decisions based facts scien
ID000206,2020-04-19,tegpt ptt fibrinogen ddimer readible markers
ID000207,2020-04-19,conquercovid19 limited canada hospitalized week earlier month
ID000208,2020-04-19,announcement seemacms nursing homes report patients families cdc ar
ID000209,2020-04-19,chit screen wutttt symptoms
ID000210,2020-04-19,denied diploma april dunn students disabilities options died washington po
ID000211,2020-04-19,caslernoel realdonaldtrump doesnt frigging work buying stock
ID000212,2020-04-19,health alert brings facts billions whatsapp
ID000213,2020-04-19,viber fight misinformation interactive chatbot multiple languages stay informed
ID000214,2020-04-19,sobering report death toll york city sobering heartbreaking
ID000215,2020-04-19,taeyong bad tyongfs single handedly beat shit king violence
ID000216,2020-04-19,3 canadian women killed seemingly partners distancing started police forces ris
ID000217,2020-04-19,danielnewman looked hood survived infection amp convalescent plasma rich
ID000218,2020-04-19,abc shilling chinas lies amp propaganda senator tom cotton fringe conspiracy theorist sugges
ID000219,2020-04-19,pray god overthe democrat party
ID000220,2020-04-19,forest loss diseases study ht
ID000221,2020-04-19,sc governor lift restrictions stores
ID000222,2020-04-19,police raids syracuse mosque continues holding daily prayers lockdown christians threatened fin
ID000223,2020-04-19,reminder united 750000 cases 40000 deaths trump acted 2 weeks ea
ID000224,2020-04-19,current efforts address drug shortages
ID000225,2020-04-19,person trust facilitate informed ethical national conversation recover covi
ID000226,2020-04-19,everyones blaming trump mishandling fair raped environment stacked cour
ID000227,2020-04-19,making false comparisons ebola sars epidemic worse
ID000228,2020-04-19,chriscuomo item actor requires amputation leg complications imperi
ID000229,2020-04-19,drivethrough testing initiative led hundreds thunder bayarea residents tested weeken
ID000230,2020-04-19,rsbnetwork president realdonaldtrump task force hold sunday news briefing
ID000231,2020-04-19,latest data pretty clear nynj hit harder america
ID000232,2020-04-19,catalunya nation starting 19 allowing children play cert
ID000233,2020-04-19,extremely helpful article learned nursing husband
ID000234,2020-04-19,807 confirmed patients chelsea fellow residents isolation prayer
