id,created_at,original_text
ID000158,2020-06-01,lab facility beisgovuk running free webinar monday ensure workplace
ID000159,2020-06-01,press release samples tested 31 2020 confirm 40 covid19 cases 23 cases samples tested fr
ID000160,2020-06-01,19032020 hospitalisation covid19 29032020 hospitalisation oxygen le
ID000161,2020-06-01,latest specificity statement update 21423 sequences 100 detection sarscov2
ID000162,2020-06-01,vaccine covid 19no economic measure announced fm market rallying big trap stay
ID000163,2020-06-01,scared covid19 riots scared china amp india threatening war recession
ID000164,2020-06-01,riots cure covid19 wasted time money vaccines
ID000165,2020-06-01,dp williamsruto journey 57 years generation grapple challenges
ID000166,2020-06-01,ramguha harmful covid19 urban naxals sanitized thro quarantine
ID000167,2020-06-01,hospital suspended screening testing covid19 main campus focusing tes
ID000168,2020-06-01,hong kong police cite covid19 threat banning annual tiananmen square vigil
ID000169,2020-06-01,postlockdown shopping continue loyal kirana store
ID000170,2020-06-01,reengage changed slew fresh obstacles force adapt habits create
ID000171,2020-06-01,cloud computing supported covid19 response
ID000172,2020-06-01,missed wednesdays webinar rcgp ahsnnetwork primary care care homes watch
ID000173,2020-06-01,lessons covid19 1 life short 2 jobs temporary 3 health wealth 4 save money 5 god
ID000174,2020-06-01,covid19 coronavirus strong fight riaz1i3
ID000175,2020-06-01,community transmission coronavirus infection wellestablished large sections subpopulations country
ID000176,2020-06-01,covid19 ill covid19 develop difficulty breathing sever
ID000177,2020-06-01,doubtinthomas82 andrear26537960 mariannesansum reason death rates pinch
ID000178,2020-06-01,usa facing bad situation dont dangerous people covid19 violence
ID000179,2020-06-01,triage noncovid19 patients coronavirus pandemic neonatalethics interviewed katrien devolder av
ID000180,2020-06-01,familiarity breeds contempt covid19 lockdown intimate dom
ID000181,2020-06-01,affordability smartphones crucial covid19 fight
ID000182,2020-06-01,reason havent updates covid19 28th
ID000183,2020-06-01,warmest josephetyang7 putting incredible photo story dis
ID000184,2020-06-01,necessity mother digital natives time essence translating content
ID000185,2020-06-01,damn protesting shit feeding agendas inforce mar
ID000186,2020-06-01,covid19 surfaced kirkwood psychiatric facility deaths recorded 29 patients employees
ID000187,2020-06-01,narendramodi rbi covid19 regulatory package months moratorium loanscredit cards hu
ID000188,2020-06-01,month left advantage covid19 offers coverage fee guarantee 60day payment terms
ID000189,2020-06-01,bojoko digs analyze covid19 impacted gaming
ID000190,2020-06-01,misinformationnegligenceignorance pandemic dangerous follow facts smokers higher
ID000191,2020-06-01,national volunteers week volunteers dedication commitment
ID000192,2020-06-01,rakhi31654937 rahulkanwal boycott suddenly middle business men affect badly mu
ID000193,2020-06-01,session201820 late covid19 pandemicthird sem exams havent yetwe waiting
ID000194,2020-06-01,listen amb harsh vardhan shringla harshvshringla foreign secretary meaindia
ID000195,2020-06-01,effort rapidly identify treatments reduce mortality rate lifearc awarded
ID000196,2020-06-01,kezianoble mortality rate covid19
ID000197,2020-06-01,remind people covid19 risk uk high covid alert level 4 transmission high
ID000198,2020-06-01,stuti8220 arundeshpande20 drmrsatapathy mahendra3 anandpdwivedi satishrathod100 rajagopalan8 ksmann
ID000199,2020-06-01,committed reducing carbon footprint today weve launched initiatives drive uks
ID000200,2020-06-01,faan management working hard place measures protect covid19 visit pls
ID000201,2020-06-01,ukrifunded covid19 uk primary care formally starts today seeking uk covid19 patients fr
ID000202,2020-06-01,covid19 shopian patient dies jampk toll 29
ID000203,2020-06-01,ypa accepts tribute frontliners covid19 pandemic video
ID000204,2020-06-01,wave covid19 britain time wage support bailouts
ID000205,2020-06-01,31052020 arrival matric class 2020 orientation learners distribution ppe ezayo siyilinde ngeyet
ID000206,2020-06-01,today bjp4delhi hold demonstration led bjp4india vp shyamsjaju ji rpsinghkhalsa sunilyadavbjp praveenskap
ID000207,2020-06-01,hear join live discussion 12th june 1pm impact covid19
ID000208,2020-06-01,survive covid19 friends follow
ID000209,2020-06-01,covid19 chance build lowcarbon future christiana figueres
ID000210,2020-06-01,told contacttracing apps lockdown early investigation led morga
ID000211,2020-06-01,tool yourcovid19risk reflecting reduce impact
ID000212,2020-06-01,kilpest indias subsidiary 3b blackbio biotech introduces kit detection covid 19 virus
ID000213,2020-06-01,weve updated faq pgrs impacted covid19 outbreak thesis 182021
ID000214,2020-06-01,updated info grafis covid19 1 juni 2020
ID000215,2020-06-01,covid19 disease fatal severe cases 80 patients
ID000216,2020-06-01,tourist spot amp kashmir hit covid19 people demanded relief
ID000217,2020-06-01,60widespread ongoing transmission respiratory illness caused coronavirus covid19
ID000218,2020-06-01,mikecarlton01 fair question answer bob hawke support foreign students australia
ID000219,2020-06-01,govt committed provide health services amp today sms hospital treating
ID000220,2020-06-01,difference 1968 trump incumbent play savior catastrophe making
ID000221,2020-06-01,pains pandemic scale amp severity private hospitals allowed fleecing peo
ID000222,2020-06-01,news researchers warn covid19 debilitating longterm illness patients partners brian
ID000223,2020-06-01,100yearold indonesian woman recovers
ID000224,2020-06-01,g00ner5 antrimchicane 1234erdh cases covid 19 wuhan december 26th reported
ID000225,2020-06-01,workers struggle commute offices transportation secretary arthur tugade national government di
ID000226,2020-06-01,northern ireland faces potent threat brexit covid19
ID000227,2020-06-01,evidence smokers vulnerable covid19 fingers frequently contact
ID000228,2020-06-01,lung simulators tackle
ID000229,2020-06-01,tonygachoka statehousekenya railaodinga ideals crucial covid19 reconstruction
ID000230,2020-06-01,caste diversity social binding helped tamil nadu doctors cope covid challenge drsakthirajan
ID000231,2020-06-01,county governments reallocated combined total ksh 61bn covid19 emergency fund va
ID000232,2020-06-01,watch increase reported cases doh officials sought clarify difference
ID000233,2020-06-01,countries pakistan tobacco control policies covid19 tobacco smoking
ID000234,2020-06-01,dr imtiyaz hassans laboratory centre interdisciplinary basic sciences jamiamillia recen
ID000235,2020-06-01,humberside police crime commissioner launched schooling resource support parents guardians
ID000236,2020-06-01,creating fame cost lives students conducting final year exams inspite exponentially rising covid
ID000237,2020-06-01,nick robinson parents bother send children school bother loaded word implying
ID000238,2020-06-01,close patience breathe droplets including covid19 virus person dise
ID000239,2020-06-01,preventative measures defense protect covid19
ID000240,2020-06-01,support dwellers slum actor silently paying expens
ID000241,2020-06-01,government industry green light british film commission production guidance film highend tv drama
ID000242,2020-06-01,restrictions slowly lifted remember check childs car seat ensure fit purpose car
ID000243,2020-06-01,spoke small restaurant owner today la savings business barely alive
ID000244,2020-06-01,social enterprise grant loan financial options
ID000245,2020-06-01,covid19 pandemic drastically causing 50000 deaths patriotujii pr
ID000246,2020-06-01,covid19 questions conscience duty scientific advisers
ID000247,2020-06-01,good morning western cape entering stage fight covid19
ID000248,2020-06-01,happy free covid 19 returning family
ID000249,2020-06-01,2 pandemics america pandemic prejudice police forces amp covid19
ID000250,2020-06-01,person suggests inject muslims covid19yeah good fucking doctor sh
ID000251,2020-06-01,support dwellers slum actor silently paying
ID000252,2020-06-01,creating fame cost lives students conducting final year exams inspite exponentially rising covid19
ID000253,2020-06-01,flawed wasnt decisions 10 weeks left britain disastrously exposed
ID000254,2020-06-01,vehicles road lockdown eased motor industry bodies calling mot extension
ID000255,2020-06-01,
ID000256,2020-06-01,nbstv lock nuisance cos number positive patients increasing high time
ID000257,2020-06-01,robjeffecology extraordinary guardian reinforcing fiction schools reopening open
ID000258,2020-06-01,fight covid19 powered citizens innovative spirit pm modi mann ki baat
ID000259,2020-06-01,reality virus clinically longer exists italy clear today covid19 disease differe
ID000260,2020-06-01,doh reports 18638 covid19 cases country 552 cases 119 fresh 443 late 4 pm
ID000261,2020-06-01,asad umar opinion committed mistake imposing lockdown early severe
ID000262,2020-06-01,outsourcing giant serco charge englands track trace responsible supporting vulnerable
ID000263,2020-06-01,tigersruledude dog2purple stevefda original paper hydroxychloroquine promoted doctor fal
ID000264,2020-06-01,road kingdom innisfree event notice covid19 wont live audience finale road kingdom
ID000265,2020-06-01,rangers continue rhinos safe essential items gloves masks hand sanitiser protect
ID000266,2020-06-01,
ID000267,2020-06-01,chairman ptf secretary government federation boss mustapha disclosed journalists sun
ID000268,2020-06-01,activities carried ensure lockdown follow safety measures stay safe covid19 pandemic
ID000269,2020-06-01,ttecemea interview iain banks ttec operations covid19 conditions
ID000270,2020-06-01,16 players brazilian club test positive covid19
ID000271,2020-06-01,level required greater required greater responsibility discipline wash hands wear
ID000272,2020-06-01,darreneuronews belgiumbrussels peak place ukgov dream
ID000273,2020-06-01,funding projects support armed forces communities uk grants 10000 proje
ID000274,2020-06-01,damienmgrant pronouncedhare forgetting dear friend covid19 playing significan
ID000275,2020-06-01,co3updates noraatco3 johnsocent arlenemcd27 socentni amccracken bbcnewsni economyni viewdigital cbprandpa oc
ID000276,2020-06-01,south city hospital khi charging rs 150000 covid19
ID000277,2020-06-01,daughter covid 19 heroes mabrouq amp dr nazla mndfofficial policemv igmhmv adkhospital hulh
ID000278,2020-06-01,doctor public hospital davao oriental tested positive covid19 confirmed case 32yearold reside
ID000279,2020-06-01,uks primary schools reopen covid19 lockdown measures gradually eased
ID000280,2020-06-01,covid19 couples week honeymoon singapore turns month ordeal
ID000281,2020-06-01,priority sdpipakistan assist combat covid19 amp devise tools ensure food security honor ou
ID000282,2020-06-01,offline online challenges opportunities entrepreneurship education covid19 pandemic alwa
ID000283,2020-06-01,reach goaltogether difference lives vulnerabl
ID000284,2020-06-01,masoodaazizi covid19 afghanistan repatriates stranded citizens uae india pakist
ID000285,2020-06-01,share networks edinburghunis response additional
ID000286,2020-06-01,india confirms 5394 cases covid19 seventh worsthit country key updates armenian pm tests posi
ID000287,2020-06-01,incubation period covid19 thought 14 days
ID000288,2020-06-01,gulu mps arrested covid19 demo
ID000289,2020-06-01,rohinisgh india herd immunity approach covid19 die die approach
ID000290,2020-06-01,genocide survivor witnessed survived worst government policy exte
ID000291,2020-06-01,children perplexing syndrome linked covid19 experiencing deadly cytokine storm
ID000292,2020-06-01,uganda established laboratory capacity uvriug national public health laboratory butabika diagnose
ID000293,2020-06-01,symptoms covid19 cough fever flu imaminn1 theteampatriot
ID000294,2020-06-01,india pm modi responded covid19 commonwealth secretarygeneral
ID000295,2020-06-01,safe work risk stratification workers covid19 pandemic nejm
ID000296,2020-06-01,auburn restaurants permanently closing covid19 read
ID000297,2020-06-01,francis 100 correct excess deaths year covid19 minority history books
ID000298,2020-06-01,national honours nominate exceptional contribution covid19 crisis response
ID000299,2020-06-01,cic juliussmalema highlights dangers alcohol fight covid19 pandemic noon
ID000300,2020-06-01,doubt herbs reason 65 drugs derived herbs herbs
ID000301,2020-06-01,tridges edition seasonal market report seasons harvests
ID000302,2020-06-01,global conversation continues piece
ID000303,2020-06-01,covid19 restoration inexperienced enterprise leaders trending
ID000304,2020-06-01,active student volunteering service uniofbrighton volunteers volunteers
ID000305,2020-06-01,blog rebooting behaviour lockdown advice schools reexpanding cohorts age covid19 ht
ID000306,2020-06-01,mandatory lockdown violates definition liberty requiring people
ID000307,2020-06-01,workshop raise support folk arts practitioners lockdown master puppeteer
ID000308,2020-06-01,unite health purspective ugc exams cancel medi
ID000309,2020-06-01,covid19 chance build lowcarbon future cfigueres lockdown wont save wor
ID000310,2020-06-01,blenheimpalace attend real morgans day virtual morgans day restricti
ID000311,2020-06-01,conrad hilton hotel spanish flu pandemic including making guests clea
ID000312,2020-06-01,covid 19 pandemic meant businesses change work safety reason
ID000313,2020-06-01,aprelapre richardbaier5 sensanders realise black people talk terrorizing
ID000314,2020-06-01,10th consecutive day cases covid19 zealand
ID000315,2020-06-01,ghonetv perfect 10hour church services covid 19 miseries support 30min
ID000316,2020-06-01,sarkodie mic beat covid19 stronger
ID000317,2020-06-01,stay stay safe apply precautions save covid 19
ID000318,2020-06-01,releases rs 28 crore divn tackling vijaywadettiwar infovidarbha aaanirudha santoshwa
ID000319,2020-06-01,covid19 update minister health dr kalumbi shangula namibia 25 cases 16 recoveries active
ID000320,2020-06-01,clinical licence cancelled hate speech covid19 muslim patients
ID000321,2020-06-01,covid19 harmful dangerous killing virus riaz1i3
ID000322,2020-06-01,guess covid19 officially
ID000323,2020-06-01,
ID000324,2020-06-01,ang lungkot tapos sana pheno study namin ngayon couldve helped light lgbt health care researc
ID000325,2020-06-01,offguardian0 19 march 2020 uk govt longer considered covid19 high consequence infectious disease hcid
ID000326,2020-06-01,greater manchester covid19 helpline bame communities launched
ID000327,2020-06-01,week celebrating volunteers week sending huge amazing volunteers wit
ID000328,2020-06-01,ventilators treatment severe covid19
ID000329,2020-06-01,covid19 financial report horyou
ID000330,2020-06-01,maa shaa allah guyz forwarding hoax whatsapp texts surpass
ID000331,2020-06-01,family lifelong liverpool fan died covid19 demand inquiry game allowed
ID000332,2020-06-01,npr cdc admitted covid19 mortality rate bad flu age irresponsible governmentmedia creating
ID000333,2020-06-01,carefull peoples high risk developing complications covid19 include older adults preg
ID000334,2020-06-01,learn amp emergency response courses intro health amp safety infection prevention amp
ID000335,2020-06-01,
ID000336,2020-06-01,israel covid19 excuse expand global surveillance story
ID000337,2020-06-01,leaked danish email danish health authority continues covid19 generall
ID000338,2020-06-01,blog fionaamalia anaamaya dinabalabanova argue achieving coordinated oversight
ID000339,2020-06-01,impact covid19 seasonal agricultural workers
ID000340,2020-06-01,icymi fauci tune covid19 wave happen maskwearing symbolic
ID000341,2020-06-01,session cover pertinent topics coronavirus covid19 pandemic
ID000342,2020-06-01,read retweet excellent summation doctor govts handling covid19
ID000343,2020-06-01,cookforcharity today featuring recipe marcus custard tart londons
ID000344,2020-06-01,covid19 buhari decision reopening schools churches ptf submits report
ID000345,2020-06-01,breaking doh reports 552 additional covid19 cases 119 detected days
ID000346,2020-06-01,worst flooding generations kenya devastates communities reeling locust swarms covid19
ID000347,2020-06-01,happy month walk blessings peace favour june innermost wishes desires granted god
ID000348,2020-06-01,age 5 symptoms coronavirus continuous cough high temperature loss chang
ID000349,2020-06-01,county governments reallocated combined total ksh 61 billion covid19 emergency fund ke
ID000350,2020-06-01,mbuyisenindlozi students learning class windows door winter covid19
ID000351,2020-06-01,covid19 maskuplagos success sarkin alimosho lga
ID000352,2020-06-01,person released covid19 quarantine support stigma
